#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
HAVE_MILITARY_SCORE_LESS_THAN;军事分数低于：;;;;;;;;;;;;x
STRATA_NEED_LESS_THAN;必需品充足度不到;;;;;;;;;;;;x
STRATA_NEED_MORE_THAN;必需品充足度至少;;;;;;;;;;;;x
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;少于$VAL$希望政治改革;;;;;;;;;;;;x
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;至少$VAL$希望政治改革;;;;;;;;;;;;x
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;少于$VAL$希望社会改革;;;;;;;;;;;;x
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;至少$VAL$希望社会改革;;;;;;;;;;;;x
CSA_proletarian_dictatorship;美利坚联盟国;;;;;;;;;;;;x
USA_presidential_dictatorship;美利坚合众国;;;;;;;;;;;;x
CSA_presidential_dictatorship;美利坚联盟国;;;;;;;;;;;;x
USA_bourgeois_dictatorship;美利坚合众国;;;;;;;;;;;;x
CSA_bourgeois_dictatorship;美利坚联盟国;;;;;;;;;;;;x
USA_fascist_dictatorship;美利坚合众国;;;;;;;;;;;;x
CSA_fascist_dictatorship;美利坚联盟国;;;;;;;;;;;;x
REMOVE_USA_prussian_constitutionalism;美利坚合众国;;;;;;;;;;;;x
CSA_prussian_constitutionalism;美利坚联盟国;;;;;;;;;;;;x
USA_democracy;美利坚合众国;;;;;;;;;;;;x
CSA_democracy;美利坚联盟国;;;;;;;;;;;;x
CAL_absolute_monarchy;加利福尼亚王国;;;;;;;;;;;;x
CAL_hms_government;加利福尼亚王国;;;;;;;;;;;;x
DOM_absolute_monarchy;圣多明哥;;;;;;;;;;;;x
DOM_hms_government;圣多明哥;;;;;;;;;;;;x
ENG_democracy;大不列颠;;;;;;;;;;;;x
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;每月基本领导力：?Y$VALUE$?W;;;;;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;每月领导力：?G+$VALUE$?W;;;;;;;;;;;;x
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$提供?G$VALUE$?W领导力\n（占人口的?Y$FRACTION$%?W，最佳为$OPTIMAL$%）;;;;;;;;;;;;x
MODIFIER_CORE_POP_MILITANCY_MODIFIER;非殖民地民族斗争性;;;;;;;;;;;;x
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;非殖民地民族觉醒度;;;;;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;未接受民族斗争性;;;;;;;;;;;;x
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;未接受民族觉醒度;;;;;;;;;;;;x
AUS_734;南蒂罗尔;;;;;;;;;;;;x
EVTNAME23212;观测彗星;;;;;;;;;;;;x
EVTDESC23212;在空中看到彗星被有些人看作是一种预兆，另一些人认为那实际上是在空中漂浮的精灵王国，还有一些人认为彗星是掠过天际的巨大冰球，同时长尾则是由太阳的能量所造成。三种说法都促进了我国对知识的探求。;;;;;;;;;;;;x
EVTOPTA23212;谢天谢地，我们生活在一个文明的时代。;;;;;;;;;;;;x
EVTNAME60140;制宪会议;;;;;;;;;;;;x
EVTDESC60140;随着自由主义者牢牢控制了我们的国家，他们认为现在是时候召开制宪会议了。每一个人，或者说至少是其中最重要的那些人，将在这里聚集并讨论，从而决定我们国家的道路。;;;;;;;;;;;;x
EVTOPTA60140;所有人民都可以利用这个方式;;;;;;;;;;;;x
become_guatemala_title;成为危地马拉;;;;;;;;;;;;x
BUDGET_STOCKPILE_YESTERDAYS;昨日为库存购买：;;;;;;;;;;;;x
become_guatemala_desc;统一中美洲的梦想已死。其他省份太在意被危地马拉支配而没有认识到我们为了维持联邦所作出的牺牲。没有了，我们和他们已经结束了。危地马拉将找到自己的命运。;;;;;;;;;;;;x
MOR_1683;塔扎;;;;;;;;;;;;x
LAG_PAUSE;$PLAYER$停顿了，暂停游戏;;;;;;;;;;;;x
LAG_DECREASE_SPEED;$PLAYER$停顿了，降低速度;;;;;;;;;;;;x
PAUSED_BY;?Y$PLAYER$?W暂停了游戏;;;;;;;;;;;;x
WARGOAL_OTHER_ACCEPT_SETUP;当某国在战争中增加了战争目标;;;;;;;;;;;;x
WARGOAL_THEY_ACCEPT_SETUP;当我国增加了针对其他国家的战争目标;;;;;;;;;;;;x
WARGOAL_WE_ACCEPT_SETUP;当某国增加了针对我国的战争目标;;;;;;;;;;;;x
status_quo_setup;我们所求的仅仅是不干涉;;;;;;;;;;;;x
PROV3041;阿根廷海山;;;;;;;;;;;;x
TUR_819;西马其顿;;;;;;;;;;;;x
TUR_806;北马其顿;;;;;;;;;;;;x
GUNBOAT_OTHER_ACCEPT_LOG;$ACTOR$使用炮舰外交强迫$RECIPIENT$偿还债务！;;;;;;;;;;;;x
GUNBOAT_THEY_ACCEPT_LOG;我们使用炮舰外交强迫$RECIPIENT$偿还债务！;;;;;;;;;;;;x
GUNBOAT_WE_ACCEPT_LOG;$ACTOR$使用炮舰外交强迫我们偿还债务！;;;;;;;;;;;;x
