support_for_blank;支持$text$
uh_support_for_blank;上议院支持$text$
up_to;达到
scaled_support;支持率$text$
scaled_unemployment;失业率
stockpile_of;储备金率$text$
create_general;新将领已产生
create_admiral;新海军将领已产生
add_war_goal;添加$text$战争目标针对$nation$
blank_loyalty;$text$忠诚度
in_blank;在$text$
no_effect;没有效果
move_capital_to;迁都至
add_x_core;增加$adj$核心
add_core_to;添加核心到
remove_x_core;移除$adj$核心
remove_core_from;移出势力范围
change_name_to;名称变为$text$
change_terrain_to;地形变为$text$
change_rgo_production_to;原材料改为$text$
make_accepted_culture;$text$成为可接受民族
primary_culture_changes_to;主体民族变为$text$
union_culture_accepted;接受主体民族文化圈中的所有民族
remove_accepted_culture;$text$不再为可接受民族
increase_national_variable_by;国家变量$text$提高$value$
decrease_national_variable_by;国家变量$text$降低$value$
life_rating;生活条件
make_national_religion;$text$成为国教
make_slave_state;成为蓄奴区
make_slave_pop;成为奴隶
research_points;研究点数
change_tech_school;科研学派变为$text$
change_government_to;政体变为$text$
add_to_treasury;添加到国库
war_exhaustion;厌战度
become_blank;成为$text$
player_control_change;玩家操作国家变为$text$
set_national_flag;设置国家变量$text$
remove_national_flag;移除国家变量$text$
infamy;恶名
change_province_owner;省份拥有者变为$text$
annex_effect;吞并$text$
annexed_by_effect;被$text$吞并
core_return;向$text$归还$adj$核心
core_return_short;$adj$核心已收回
change_province_controller;省份控制者变为$text$
change_state_controller;地区控制者变为$text$
pop_savings;人群储蓄
leadership_points;领导力点数
release_as_vassal;释放$text$为附庸
end_alliance;断绝与$text$的同盟
end_war_with;与$text$停战
enable_ideology;启用意识形态?Y$text$?!
enable_technology;给予科技?Y$text$?!
enable_invention;给予发明?Y$text$?!
change_ruling_party;执政党变为$text$
remove_prov_mod;移除省份修正效果$text$
remove_nat_mod;移除国家修正效果$text$
make_alliance;与$text$结盟
becomes_independent;$text$成为独立国家
release_as_independent;释放独立国家$text$
set_global_flag;设置全球变量$text$
remove_global_flag;移除全球变量$text$
change_national_value;国家价值变为$text$
become_civ;成为开化国家
become_unciv;成为未开化国家
free_slave_state;成为自由区
free_slave_pop;解放奴隶
hold_election;举行选举
issue_change;$issue$变为$text$
add_relative_income;最后收入到国库
make_neutral;解除所有同盟，释放所有附庸
pop_size;人群规模
move_pop_to;人群移动到$text$
change_pop_type;人群类型转变为$text$
years_of_research;研究年数
remove_mil_reforms;移除$value$个军事改革
remove_econ_reforms;移除$value$个经济改革
add_crime;添加犯罪$text$
remove_crime;移除激活犯罪
perform_nationalization;实施国有化
build_factory_in_capital;在首都州建设$text$
enable_great_wars;超级大战已启用
enable_world_wars;世界大战已启用
disable_great_wars;超级大战不再可用
disable_world_wars;世界大战不再可用
assimilate_pop;民族变为$text$
assimilate_province;所有人群民族变为$text$
owner_primary_culture;其拥有者的主体民族
literacy;识字率
add_crisis_interest;对当前危机感兴趣
crisis_temperature_plain;危机热度
militancy;斗争性
consciousness;觉醒度
rgo_size;原料产地规模
trigger_every_revolt;引发所有叛乱
call_allies;召集盟友进入当前战争
truce_with;与$text$签订和约，持续到?Y$y$?!。
diplomatic_influence_with;对$text$的外交影响力
relations_with;与$text$的关系
add_modifier_until;获得$text$直到$date$
add_modifier;获得$text$
add_cb_months;获得对$text$的$name$宣战理由直到$date$
add_cb_no_months;获得$name$宣战理由针对$text$
add_cb_reversed_months;$text$在$date$之前对此国有$name$宣战理由
add_cb_reversed_no_months;$text$获得$name$宣战理由针对此国
remove_cb_reversed;失去所有$name$宣战理由针对$text$
remove_cb;$text$失去$name$宣战理由针对此国
set_national_variable_to;设置国家变量$text$为$value$
event_fires;已触发事件$text$
event_fires_in_days;事件$text$在$value$天内触发
railroad_in_capital;首都铁路等级?G+1?!
railroad_in_capital_state;首府铁路等级?G+1?!
fort_in_capital;首都要塞等级?G+1?!
fort_in_capital_state;首府要塞等级?G+1?!
fort_in_capital;首都要塞等级?G+1?!
fort_in_capital_state;首府要塞等级?G+1?!
university_in_capital;首都大学等级?G+1?!
university_in_capital_state;首府大学等级?G+1?!
bank_in_capital;首都银行等级?G+1?!
bank_in_capital_state;首府银行等级?G+1?!
railroad_level;铁路等级
fort_level;要塞等级
