#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
JAN_reactionary;战斗党;;;;;;;;;;;;x
EXILED_DESC;此单位滞留在外?，在和平时期没有军事通行权的情况下却待在外国领土上。滞留在外的单位无法参与战斗，而且他们的侦查能力也受到削弱，但他们可以通过外国领土回国。让你的单位移动到最近的本国省份！;;;;;;;;;;;;x
TWS_FULFILLED;在$PERC$满足;;;;;;;;;;;;x
TWS_NOT_FULFILLED;未满足?;;;;;;;;;;;;x
TICKING_WARSCORE_DESC_CURR;目前$VAL$;;;;;;;;;;;;x
UNIT_BORROWED;该单位临时置于我们的指挥之下;;;;;;;;;;;;x
DISBAND_TOO_SMALL_UNIT;解散缺员旅;;;;;;;;;;;;x
DISBAND_TOO_SMALL_UNIT_DRO;该选项将解散所有目前不是由全兵力的士兵人群支持的旅;;;;;;;;;;;;x
CONFIRM_DISBAND_TOO_SMALL_TITLE;你希望解散全部缺员旅吗？;;;;;;;;;;;;x
CONFIRM_DISBAND_TOO_SMALL_DESC;这将解散所有目前不是由全兵力的士兵人群支持的旅，你也不必为他们支付更多维护费了。在这些旅内任何剩余的人力都将回到资源库。;;;;;;;;;;;;x
MODIFIER_RESEARCH_POINTS_ON_CONQUER;来自征服的研究点数奖励;;;;;;;;;;;;x
colonial_negotiations;殖民谈判;;;;;;;;;;;;x
colonial_negotiations_desc;“不管怎样，我们搞到了马克沁机枪，而他们没有”\n\n机枪使军队得以给使用人海战术的军事力量予以毁灭性打击，这一招用来对付那些反殖民的”未开化“国家尤其有用。;;;;;;;;;;;;x
PRODUCTION_BONUS_POSSIBLE;可能加成来源：:;;;;;;;;;;;;x
COLONIZE_PHASE_INITIAL_INTEREST;派遣考察队;;;;;;;;;;;;x
COLONIZE_PHASE_INITIAL_INTEREST_DESC;在某一地区建立势力的第一步是派出考察队。如果在$DAYS$?天后未受挑战的话，你将被允许创建一个保护领。;;;;;;;;;;;;x
INITIAL_COLONIZE_DEFAULT_TIME;如果在$DATE$?内没有国家挑战你的考察队的话，你可以直接创建一个保护领;;;;;;;;;;;;x
COUNTRYALERT_ColonialGood_protectorate;我们可以在$REGION$?创建一个保护领?;;;;;;;;;;;;x
COUNTRYALERT_ColonialGood_colony;我们可以在$REGION$?推进殖民进度?;;;;;;;;;;;;x
COUNTRYALERT_ColonialGood_state;我们可以将$REGION$?并入本土?;;;;;;;;;;;;x
COUNTRYALERT_ColonialBad_colonizationtimer;我们需要在?$REGION$?于$DATE$?之前推进殖民进度，否则我们将失去它?;;;;;;;;;;;;x
COUNTRYALERT_ColonialBad_influence;我们将于?$REGION$?输掉殖民竞赛;;;;;;;;;;;;x
NON_COLONIAL_POWER;由于我们既不是次强也不是列强，我们没有殖民力;;;;;;;;;;;;x
CRISIS_DESCRIPTION_COLONIZE;拓殖权危机;;;;;;;;;;;;x
colonial_competition;强行索要殖民地;;;;;;;;;;;;x
colonial_competition_desc;获得一个殖民地区?;;;;;;;;;;;;x
colonial_competition_short;获得$REGION$殖民地;;;;;;;;;;;;x
colonial_competition_setup;获得$REGION$殖民地;;;;;;;;;;;;x
CB_COLONY_CLAIMS;强行索要殖民地;;;;;;;;;;;;x
COLONY_TENSION_DRIFT;浮动：$VAL$?;;;;;;;;;;;;x
COLONY_IN_CRISIS;当前卷入殖民危机中;;;;;;;;;;;;x
